price,colour,car_type,year,trim,mileage,wheels,Interior_Color,Interior_Type,location
47000,Black,Model_S,2018,75D_All-Wheel_Drive,56752,19,Black,Textile,"Lathrop,_CA"
52100,Silver,Model_S,2019,75D_All-Wheel_Drive,26360,19,Black,Premium,"Lathrop,_CA"
59800,Black,Model_S,2018,100D_Long_Range_All-Wheel_Drive,31803,19,Black,Premium,"Lathrop,_CA"
62100,Silver,Model_S,2019,100D_Long_Range_All-Wheel_Drive,24562,19,Black,Premium,"Lathrop,_CA"
66100,Silver,Model_S,2019,Long_Range_All-Wheel_Drive,23213,19,Black-White,Premium,"Lathrop,_CA"
66400,Pearl,Model_S,2020,Long_Range_Plus_All-Wheel_Drive,27917,19,Black-White,Premium,"Gilroy,_CA"
68500,Silver,Model_S,2020,Long_Range_Plus_All-Wheel_Drive,7879,19,Black,Premium,"Lathrop,_CA"
73700,Silver,Model_S,2020,Performance_All-Wheel_Drive,26178,19,Black,Premium,"Lathrop,_CA"
75000,Silver,Model_S,2020,Long_Range_Plus_All-Wheel_Drive,19855,21,Cream,Premium,"Lathrop,_CA"
75400,Blue,Model_S,2020,Long_Range_Plus_All-Wheel_Drive,16320,19,Cream,Premium,"Lathrop,_CA"
76600,Pearl,Model_S,2020,Long_Range_Plus_All-Wheel_Drive,25637,19,Black,Premium,"Lathrop,_CA"
79500,Black,Model_S,2020,Performance_All-Wheel_Drive,6687,21,Black,Premium,"Bakersfield,_CA"
80100,Pearl,Model_S,2020,Performance_All-Wheel_Drive,19551,21,Black-White,Premium,"Lathrop,_CA"
52600,Silver,Model_X,2018,75D_All-Wheel_Drive,58459,20,Black,Premium,"Rockville,_MD"
53700,Red,Model_X,2018,75D_All-Wheel_Drive,71930,20,Cream,Premium,"Aurora,_CO"
58000,Pearl,Model_X,2018,75D_All-Wheel_Drive,44887,22,Black,Textile,"BOSTON,_MA"
59500,Pearl,Model_X,2018,75D_All-Wheel_Drive,31007,20,Black,Premium,"LONG_BEACH,_CA"
60300,Blue,Model_X,2017,75D_All-Wheel_Drive,23458,20,Black,Textile,"Rockville,_MD"
64200,Silver,Model_X,2018,75D_All-Wheel_Drive,31733,22,Black,Textile,"Rockville,_MD"
63100,Blue,Model_X,2018,75D_All-Wheel_Drive,21538,20,Black,Premium,"Temecula,_CA"
50800,Blue,Model_Y,2021,Long_Range_Dual_Motor_All-Wheel_Drive,19909,20,Black-White,Premium,"Colma,_CA"
52200,Blue,Model_Y,2020,Long_Range_All-Wheel_Drive,25332,20,Black,Premium,"Lathrop,_CA"
52400,Black,Model_Y,2021,Long_Range_All-Wheel_Drive,29763,19,Black,Premium,"Gilroy,_CA"
52700,Blue,Model_Y,2021,Long_Range_All-Wheel_Drive,28451,19,Black-White,Premium,"Rocklin,_CA"
54800,Pearl,Model_Y,2021,Long_Range_Dual_Motor_All-Wheel_Drive,7504,19,Black,Premium,"Stockton,_CA"
56800,Red,Model_Y,2020,Long_Range_All-Wheel_Drive_Performance,25046,21,Black,Premium,"Gilroy,_CA"
61200,Pearl,Model_Y,2021,Performance_Dual_Motor_All-Wheel_Drive,21940,21,Black,Premium,"Fresno,_CA"
67600,Red,Model_Y,2022,Performance_Dual_Motor_All-Wheel_Drive,2779,21,Black-White,Premium,"Gilroy,_CA"
30300,Pearl,Model_3,2019,Standard_Range_Plus_Rear-Wheel_Drive,37252,18,Black,Partial Premium,"Colma,_CA"
31300,Pearl,Model_3,2019,Standard_Range_Plus_Rear-Wheel_Drive,68136,18,Black,Partial Premium,"Fresno,_CA"
31500,Silver,Model_3,2019,Standard_Range_Plus_Rear-Wheel_Drive,43828,18,Black,Partial Premium,"Gilroy,_CA"
31500,Pearl,Model_3,2019,Standard_Range_Plus_Rear-Wheel_Drive,41581,18,Black,Partial Premium,"Gilroy,_CA"
31900,Black,Model_3,2019,Standard_Range_Plus_Rear-Wheel_Drive,39240,18,Black,Partial Premium,"Colma,_CA"
32600,Pearl,Model_3,2020,Standard_Range_Plus_Rear-Wheel_Drive,31445,18,Black,Partial Premium,"Bakersfield,_CA"
32900,Pearl,Model_3,2020,Standard_Range_Plus_Rear-Wheel_Drive,35599,18,Black,Partial Premium,"Bakersfield,_CA"
34000,Pearl,Model_3,2020,Standard_Range_Plus_Rear-Wheel_Drive,26128,18,Black,Partial Premium,"Stockton,_CA"
34200,Pearl,Model_3,2020,Standard_Range_Plus_Rear-Wheel_Drive,26427,18,Black,Partial Premium,"Stockton,_CA"
34300,Pearl,Model_3,2019,Standard_Range_Plus_Rear-Wheel_Drive,29852,18,Black,Partial Premium,"Fresno,_CA"
34500,Pearl,Model_3,2020,Standard_Range_Plus_Rear-Wheel_Drive,42351,18,Black,Partial Premium,"Fresno,_CA"
35200,Pearl,Model_3,2020,Standard_Range_Plus_Rear-Wheel_Drive,24207,18,Black,Partial Premium,"Lathrop,_CA"
35300,Pearl,Model_3,2019,Standard_Range_Plus_Rear-Wheel_Drive,31357,19,Black,Partial Premium,"Colma,_CA"
35400,Blue,Model_3,2018,Long_Range_Rear-Wheel_Drive,47449,18,Black,Premium,"Lathrop,_CA"
