,price,year,car_type,trim,mileage,location,DownPay,Emi_Span,APR,EPA_Range,Top_Speed,60mph_time,colour,wheels,interior
0,30900,2019,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,43839,"Gilroy, CA",4500,72,769,240,140,5.3,Midnight Silver Metallic ,18 inch wheels,All Black Partial Premium Interior
1,31400,2019,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,49258,"Stockton, CA",4500,72,769,240,140,5.3,Deep Blue Metallic ,18 inch wheels,All Black Partial Premium Interior
2,32400,2019,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,29852,"Fresno, CA",4500,72,769,240,140,5.3,Pearl White ,18 inch wheels,All Black Partial Premium Interior
3,32600,2020,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,42351,"Fresno, CA",4500,72,769,250,140,5.3,Pearl White ,18 inch wheels,All Black Partial Premium Interior
4,32900,2019,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,37149,"Fresno, CA",4500,72,769,240,140,5.3,Pearl White ,19 inch wheels,All Black Partial Premium Interior
5,33100,2019,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,36223,"Stockton, CA",4500,72,769,240,140,5.3,Deep Blue Metallic ,18 inch wheels,All Black Partial Premium Interior
6,33400,2019,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,17692,"Lathrop, CA",4500,72,769,240,140,5.3,Pearl White ,18 inch wheels,All Black Partial Premium Interior
7,33600,2019,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,38368,"Lathrop, CA",4500,72,769,240,140,5.3,Solid Black ,18 inch wheels,All Black Partial Premium Interior
8,33700,2019,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,19387,"Gilroy, CA",4500,72,769,240,140,5.3,Solid Black ,19 inch wheels,All Black Partial Premium Interior
9,33800,2018,Model 3,Model 3 Long Range Rear-Wheel Drive,47449,"Stockton, CA",4500,72,769,325,140,5,Deep Blue Metallic ,18 inch wheels,All Black Premium Interior
10,33900,2019,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,19165,"Bakersfield, CA",4500,72,769,240,140,5.3,Red Multi-Coat ,18 inch wheels,All Black Partial Premium Interior
11,34000,2019,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,32812,"Lathrop, CA",4500,72,769,240,140,5.3,Pearl White ,18 inch wheels,All Black Partial Premium Interior
12,34300,2020,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,42468,"Bakersfield, CA",4500,72,769,250,140,5.3,Pearl White ,19 inch wheels,All Black Partial Premium Interior
13,34400,2020,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,24819,"Lathrop, CA",4500,72,769,250,140,5.3,Pearl White ,18 inch wheels,All Black Partial Premium Interior
14,34700,2019,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,18599,"Fresno, CA",4500,72,769,240,140,5.3,Pearl White ,18 inch wheels,All Black Partial Premium Interior
15,34700,2019,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,24632,"Gilroy, CA",4500,72,769,240,140,5.3,Solid Black ,18 inch wheels,All Black Partial Premium Interior
16,34700,2020,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,30016,"Gilroy, CA",4500,72,769,250,140,5.3,Solid Black ,19 inch wheels,Black and White Partial Premium Interior
17,34800,2018,Model 3,Model 3 Long Range Rear-Wheel Drive,61436,"Lathrop, CA",4500,72,769,325,140,5,Midnight Silver Metallic ,18 inch wheels,All Black Premium Interior
18,34900,2020,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,12938,"Gilroy, CA",4500,72,769,250,140,5.3,Pearl White ,18 inch wheels,All Black Partial Premium Interior
19,35000,2020,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,30229,"Lathrop, CA",4500,72,769,250,140,5.3,Pearl White ,18 inch wheels,All Black Partial Premium Interior
20,35100,2019,Model 3,Model 3 Standard Range Plus Rear-Wheel Drive,12861,"Fresno, CA",4500,72,769,240,140,5.3,Pearl White ,19 inch wheels,Black and White Partial Premium Interior
